# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	1466
#@/user_id	79ab5cc6-16fb-466f-9b2a-142e70327c72
ren2 lei4 	人類	c=1 d=1 t=1100
ren2 ma3 	人馬	c=0 d=0.1 t=1098
ren2 ma3 de5 	人馬的	c=1 d=1 t=1099
rong2 he2 	融合	c=1 d=1 t=275
ru2 ci3 	如此	c=1 d=1 t=308
ru2 guo3 	如果	c=3 d=1.35011 t=824
ru4 	入	c=1 d=1 t=914
ru4 chang2 	入場	c=1 d=1 t=136
sa1 	撒	c=1 d=1 t=1196
sa1 dan4 	撒旦	c=1 d=1 t=1394
san1 	三	c=1 d=1 t=952
san1 hang2 	三行	c=1 d=1 t=735
shan3 guo4 	閃過	c=1 d=1 t=491
shang4 	上	c=3 d=2.10312 t=1281
shang4 jie1 	上街	c=2 d=1.9802 t=674
shang4 le5 	上了	c=1 d=1 t=190
shao1 wei1 	稍微	c=1 d=1 t=29
she4 bei4 	設備	c=1 d=1 t=507
she4 ji2 	涉及	c=1 d=1 t=1315
she4 ji4 	設計	c=1 d=1 t=1314
shei2 	誰	c=3 d=2.59165 t=407
shen1 du4 	深度	c=1 d=1 t=1266
shen1 xia4 	身下	c=1 d=1 t=1347
shen2 me5 	什麼	c=6 d=3.98299 t=853
shen3 shi4 	審視	c=1 d=1 t=723
shen4 huo4 	甚或	c=1 d=1 t=626
shen4 zhi4 	甚至	c=3 d=2.01354 t=1162
shen4 zhi4 shi4 	甚至是	c=1 d=1 t=594
sheng1 	生	c=2 d=0.206698 t=1345
sheng1 	聲	c=1 d=1 t=230
sheng1 huo2 	生活	c=3 d=2.74373 t=660
sheng1 xi3 ai4 	生喜愛	c=1 d=1 t=1346
sheng4 jie2 	聖潔	c=1 d=1 t=669
sheng4 xia5 	剩下	c=1 d=1 t=1348
shi1 	師	c=1 d=1 t=1233
shi2 ji1 ge4 	十幾個	c=1 d=1 t=926
shi2 jian1 	時間	c=4 d=3.01487 t=1095
shi2 shi1 	實施	c=1 d=1 t=1045
shi2 xing2 	實行	c=1 d=1 t=1256
shi3 	史	c=1 d=1 t=1036
shi3 ming4 	使命	c=1 d=1 t=584
shi3 yong4 	使用	c=2 d=1.03239 t=1191
shi4 	事	c=1 d=1 t=754
shi4 	室	c=1 d=1 t=120
shi4 	式	c=1 d=1.07045 t=1231
shi4 	是	c=14 d=2.08843 t=1425
shi4 bi4 	勢必	c=1 d=1 t=768
shi4 dao4 	世道	c=2 d=1.5886 t=1229
shi4 jie4 	世界	c=2 d=1.11765 t=884
shi4 jie4 ji2 	世界級	c=0 d=0.1 t=612
shi4 ni3 men5 	是你們	c=1 d=1 t=1055
shi4 shi4 	逝世	c=1 d=1 t=1046
shi4 yi2 	事宜	c=1 d=1 t=1335
shou1 	收	c=1 d=1 t=1029
